belongs_to_collection,genres,original_language,popularity,production_companies,release_date,runtime,status,title,vote_average,return
1546,1090,17,4,15264,12,0,4,Toy Story,3,12.45
-1,941,17,4,19691,12,2,4,Jumanji,3,4.04
529,3316,17,4,21747,12,1,4,Grumpier Old Men,2,0.0
-1,1398,17,3,20124,12,2,4,Waiting to Exhale,2,5.09
434,1599,17,4,16904,12,2,4,Father of the Bride Part II,1,0.0
-1,348,17,4,16182,12,2,4,Heat,3,3.12
-1,1552,17,4,14836,12,2,4,Sabrina,2,0.0
-1,94,17,3,21572,12,1,4,Tom and Huck,1,0.0
-1,187,17,4,20709,12,2,4,Sudden Death,1,1.84
646,685,17,4,20381,12,2,4,GoldenEye,2,6.07
-1,1398,17,4,4466,12,2,4,The American President,2,1.74
-1,1508,17,4,4460,12,0,4,Dracula: Dead and Loving It,1,0.0
125,2407,17,4,20577,12,0,4,Balto,3,0.0
-1,2831,17,4,9092,12,2,4,Nixon,3,0.31
-1,193,17,4,10818,12,2,4,Cutthroat Island,1,0.1
-1,2026,17,4,20741,12,2,4,Casino,3,2.23
-1,2277,17,4,4351,12,2,4,Sense and Sensibility,3,8.18
-1,1645,17,4,12611,12,1,4,Four Rooms,2,1.08
33,1634,17,4,13868,12,1,4,Ace Ventura: When Nature Calls,2,7.08
-1,250,17,4,4664,12,2,4,Money Train,1,0.59
247,1578,17,4,10064,12,2,4,Get Shorty,2,3.81
-1,2360,17,4,16196,12,2,4,Copycat,2,0.0
-1,87,17,4,17509,12,2,4,Assassins,1,0.61
-1,2086,17,4,3333,12,2,4,Powder,2,0.0
-1,2277,17,4,20409,12,2,4,Leaving Las Vegas,3,13.83
-1,2384,17,3,4466,12,2,4,Othello,3,0.0
-1,1350,17,4,13473,12,1,4,Now and Then,2,2.28
-1,2277,17,3,1873,12,2,4,Persuasion,3,0.0
-1,2715,24,4,15527,12,2,4,The City of Lost Children,3,0.1
-1,2026,87,2,12592,12,2,4,Shanghai Triad,2,0.0
-1,2026,17,4,9107,12,1,4,Dangerous Minds,2,0.0
-1,3554,17,4,20598,12,2,4,Twelve Monkeys,3,5.72
-1,3283,24,1,9892,12,0,4,Wings of Courage,2,0.0
114,2614,17,4,20727,12,0,4,Babe,1,8.47
-1,2820,17,2,18247,12,2,4,Carrington,2,0.0
-1,2384,17,4,8905,12,2,4,Dead Man Walking,3,3.58
-1,960,17,0,17752,12,0,4,Across the Sea of Time,0,0.0
-1,1438,17,4,5869,12,1,4,It Takes Two,2,0.0
-1,1398,17,4,14913,12,1,4,Clueless,3,0.0
-1,2384,17,2,12736,12,2,4,"Cry, the Beloved Country",2,0.0
-1,2376,17,3,2797,12,2,4,Richard III,3,0.0
-1,339,17,4,3336,12,2,4,Dead Presidents,2,0.0
-1,2277,17,4,12735,12,2,4,Restoration,2,0.0
845,499,17,4,13452,12,1,4,Mortal Kombat,1,6.79
-1,2625,17,4,19116,12,2,4,To Die For,2,1.06
-1,2277,17,3,20587,12,2,4,How To Make An American Quilt,2,2.36
-1,1746,17,4,13387,12,2,4,Se7en,3,9.92
974,709,17,4,21562,12,0,4,Pocahontas,2,6.29
-1,2277,17,3,786,12,1,4,When Night Is Falling,1,0.0
-1,2024,17,4,2521,12,2,4,The Usual Suspects,3,3.89
-1,596,17,1,-1,12,1,4,Guardian Angel,2,0.0
-1,1552,17,4,12678,12,1,4,Mighty Aphrodite,2,0.45
-1,2116,34,2,-1,12,2,4,Lamerica,3,0.0
-1,56,17,4,21477,12,1,4,The Big Green,1,0.0
-1,2384,17,3,12638,12,2,4,Georgia,2,0.0
-1,-1,17,1,18781,12,0,4,Kids of the Round Table,0,0.0
-1,1398,17,4,14626,12,2,4,Home for the Holidays,2,0.0
-1,1398,34,4,-1,12,2,4,The Postman,3,0.0
-1,3833,24,0,-1,12,1,4,The Confessional,2,0.0
-1,886,17,4,14562,12,1,4,The Indian in the Cupboard,1,0.0
-1,2360,17,3,14913,12,1,4,Eye for an Eye,1,0.0
-1,3074,17,4,9105,12,2,4,Mr. Holland's Opus,3,0.0
-1,1599,17,4,12668,12,0,4,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,2,0.0
-1,1552,17,3,21759,12,1,4,Two If by Sea,0,0.0
-1,1599,17,4,12408,12,0,4,Bio-Dome,0,0.0
1379,575,17,3,13473,12,1,4,Lawnmower Man 2: Beyond Cyberspace,0,0.0
-1,2060,17,3,12735,12,0,4,Two Bits,1,0.0
-1,1552,24,3,16275,12,1,4,French Twist,1,0.0
472,1599,17,4,13473,12,1,4,Friday,3,8.06
477,2870,17,4,284,12,2,4,From Dusk Till Dawn,3,1.36
-1,608,17,4,17520,12,1,4,Fair Game,0,0.23
-1,1398,17,3,3453,12,1,4,Kicking and Screaming,3,0.0
-1,2150,24,2,10916,12,2,4,Les Miserables,2,0.0
-1,2277,17,4,13388,12,0,4,Bed of Roses,1,0.0
-1,1445,17,3,21759,12,1,4,Big Bully,0,0.14
1082,2997,17,4,19088,12,2,4,Screamers,2,0.29
-1,1845,17,0,22480,12,0,4,Nico Icon,3,0.0
-1,2360,17,4,12735,12,2,4,The Crossing Guard,2,0.0
-1,2360,17,4,4420,12,2,4,The Juror,1,0.0
-1,2452,22,2,9263,12,0,4,The White Balloon,3,0.0
-1,2026,17,3,12735,12,2,4,Things to Do in Denver When You're Dead,2,0.07
-1,2000,57,3,2322,12,1,4,Antonia's Line,3,0.0
-1,3367,17,0,1920,12,2,4,Once Upon a Time... When We Were Colored,0,0.0
-1,-1,17,1,-1,12,2,4,Last Summer in the Hamptons,0,0.0
-1,2277,17,3,15315,12,2,4,Angels and Insects,2,0.0
-1,470,17,4,9097,12,2,4,White Squall,2,0.27
-1,754,17,3,19990,12,0,4,Dunston Checks In,1,0.0
-1,1599,17,4,14913,12,0,4,Black Sheep,1,0.0
-1,1711,17,4,14913,12,1,4,Nick of Time,2,1.0
-1,2384,17,1,12613,12,1,4,The Journey of August King,2,0.0
-1,2198,17,4,19674,12,2,4,Mary Reilly,1,0.26
-1,1499,17,4,14913,12,1,4,Vampire in Brooklyn,0,1.41
-1,1398,17,3,12733,12,2,4,Beautiful Girls,2,0.0
-1,127,17,4,20112,12,2,4,Broken Arrow,1,3.01
-1,1599,17,1,3441,12,1,4,A Midwinter's Tale,3,0.0
-1,2384,24,4,6079,12,1,4,La Haine,3,0.0
-1,124,17,3,3691,12,2,4,Shopping,1,0.0
-1,1845,17,1,2751,12,2,4,Heidi Fleiss: Hollywood Madam,2,0.0
-1,2360,17,3,4466,12,2,4,City Hall,1,0.0
-1,1291,17,4,8460,12,1,4,Bottle Rocket,2,0.08
-1,1552,17,3,19557,12,1,4,Mr. Wrong,0,0.0
-1,2230,17,3,12374,12,2,4,Unforgettable,1,0.0
-1,1599,17,4,20623,12,1,4,Happy Gilmore,2,3.43
-1,2277,17,4,905,12,2,4,The Bridges of Madison County,3,7.58
-1,1961,15,2,-1,12,2,4,Nobody Loves Me,1,0.0
1415,296,17,4,21514,12,1,4,Muppet Treasure Island,2,0.0
-1,1845,17,2,-1,12,1,4,Catwalk,3,0.0
-1,1772,17,0,-1,12,2,4,Headless Body in Topless Bar,0,0.0
-1,418,17,4,9351,12,2,4,Braveheart,3,2.92
-1,1715,17,4,4328,10,2,4,Taxi Driver,3,21.74
-1,1606,11,4,13367,12,1,4,Rumble in the Bronx,2,4.32
-1,2360,17,3,3333,12,2,4,Before and After,1,0.0
-1,2384,17,1,20194,12,2,4,Margaret's Museum,3,0.0
-1,1599,17,2,7649,12,2,4,Happiness Is in the Field,3,0.0
-1,1793,17,0,-1,12,2,4,Anne Frank Remembered,3,0.0
-1,1291,17,4,2163,12,1,4,The Young Poisoner's Handbook,3,0.0
-1,1552,17,3,19669,12,1,4,If Lucy Fell,1,0.0
-1,1408,17,2,16979,12,2,4,Steal Big Steal Little,1,0.25
-1,40,17,2,19700,12,1,4,Race the Sun,1,0.0
-1,2384,17,2,-1,12,1,4,The Boys of St. Vincent,3,0.0
-1,1552,17,4,14913,12,2,4,Boomerang,1,1.75
-1,1977,11,4,10072,12,1,4,Chungking Express,3,0.0
-1,2277,34,3,3488,12,2,4,The Star Maker,2,0.0
-1,1552,17,4,12735,12,1,4,Flirting with Disaster,2,2.1
1418,2735,17,4,18151,12,1,4,The Neverending Story III: Escape from Fantasia,0,0.0
-1,2384,3,1,3115,12,2,4,The Silences of the Palace,0,0.0
-1,-1,17,0,-1,12,0,4,Jupiter's Wife,0,0.0
-1,1552,17,1,-1,12,1,4,Pie in the Sky,3,0.0
-1,1408,17,3,-1,12,1,4,Angela,1,0.0
-1,2275,34,1,7196,12,1,4,Frankie Starlight,1,0.0
-1,604,17,4,14913,12,1,4,Jade,1,0.2
-1,1398,19,1,3849,12,1,4,Nueba Yol,1,0.0
-1,3066,17,0,-1,12,0,4,Sonic Outlaws,0,0.0
-1,1599,17,4,20124,12,1,4,Down Periscope,1,0.0
-1,1845,17,1,4941,12,1,4,From the Journals of Jean Seberg,2,0.0
-1,1599,17,1,-1,12,0,4,Man of the Year,0,0.0
-1,2384,17,1,3625,12,1,4,The Neon Bible,3,0.0
-1,-1,17,0,-1,12,2,4,Target,0,0.0
-1,2277,17,3,4015,12,2,4,Up Close & Personal,1,0.0
-1,1599,17,4,20515,12,2,4,The Birdcage,2,5.98
-1,2384,17,2,-1,12,2,4,Virgin Mary,3,0.0
-1,1398,17,3,7585,12,1,4,The Brothers McMullen,2,0.0
121,249,17,4,4485,12,2,4,Bad Boys,2,7.44
-1,94,17,3,21816,12,0,4,The Amazing Panda Adventure,0,0.0
-1,2026,17,4,13382,12,1,4,The Basketball Diaries,3,0.0
-1,3338,17,2,7194,12,2,4,An Awfully Big Adventure,1,0.21
